a		Nc, Ng, Vit, I, E
du kích		Nc, Ng, Vit, Aa
du ký		Na
du lãm		Vit
du lịch		Vit
du mục		Vit
du ngoạn		Vit
du nhập		Vt
du thủ du thực		Vit
du thuyền		Nc, Ng
du thuyết		Vit
du xích		Nc
du xuân		Vit
dù		Nc, Ng, Cc
dù cho		Cc
dù dì		Nc, Ng
dù rằng		Cc
dù sao		X
dụ		Nc, Vt
dụ dỗ		Vt
dùa		Vt
dũa		Vt
dục dặc		Vit
dục tình		Na
dục vọng		Na
duềnh		Nc
dùi		Nc, Vt
dùi cui		Nc, Ng
dùi đục		Nc, Ng
dùi đục chấm mắm cáy		X
dùi mài		Vt
dũi		Vt
dúi		Nc, Vt
dúi dụi		Vit
dụi		Vt
dúm		Nu, Vt
dúm dó		Aa
dụm		Vt
dumdum		Nc, Ng
dun		Vt
dun dủi		Vit
dùn		Aa
dún		Vt
dún dẩy		Vit
dung		Nc, Vt
dung dăng		Vit
dung dị		Aa
dung dịch		Nc, Ng
dung dịch đệm		Nc, Ng
dung dịch keo		Nc, Ng
dung dưỡng		Vt
dung hoà		Vt
dung hợp		Vt
dung lượng		Nu
dung mạo		Na
dung môi		Nc, Ng
dung nạp		Vt
dung nghi		Na
dung nham		Nc, Ng
dung nhan		Na
dung nhận		Vt
dung quang		Na
dung sai		Na
dung tha		Vt
dung thân		Vit
dung thứ		Vt
dung tích		Nu
dung tục		Aa
dung túng		Vt
dùng		Vt, Aa
dùng dằng		Vit
dùng dắng		Vit
dũng		Na
dũng cảm		Aa
dũng khí		Na
dũng mãnh		Aa
dũng sĩ		Na
dũng tướng		Nc, Ng
dúng		Vt
dụng		Vt
dụng công		Vt
dụng cụ		Nc, Ng
dụng tâm		Na, Vt
dụng tình		Vt
dụng võ		Vit
dụng ý		Na, Vt
duốc		Vt
duốc cá		Nc, Ng
duộc		Na
duỗi		Nc, Vt
duối		Nc, Ng
dura		Np
duralumin		Np
dút dát		Vit
duy		Jd
duy cảm		Aa
duy danh		Aa
duy danh luận		Na
duy lí		Aa
duy linh		Aa
duy linh luận		Na
duy lý		Aa
duy mĩ		Aa
duy mỹ		Aa
duy ngã		Aa
duy ngã luận		Na
duy nhất		Aa
duy tâm		Aa
duy tâm luận		Na
duy tâm sử quan		Na
duy tân		Vit
duy thần		Aa
duy trì		Vt
duy tu		Vt
duy vật		Aa
duy vật luận		Na
duy ý chí		Aa
duyên		Na
duyên		Na
duyên cách		Na
duyên cớ		Na
duyên dáng		Aa
duyên do		Na
duyên hài		Na
duyên hải		Ng
duyên kì ngộ		Na
duyên kiếp		Na
duyên kỳ ngộ		Na
duyên nghiệp		Na
duyên nợ		Na
duyên phận		Na
duyên số		Na
duyệt		Vt
duyệt binh		Vit
duyệt y		Vit
dư		Aa
dư âm		Na
dư ba		Na
dư dả		Aa
dư dật		Aa
dư đảng		Ng
dư địa chí		Na
dư đồ		Ng
dư luận		Na
dư lượng		Ng
dư nợ		Na
dư thừa		Aa
dư vang		Na
dư vị		Na
dừ		Aa
dữ		Aa, Jd
dữ dằn		Aa
dữ dội		Aa
dữ đòn		Aa
dữ kiện		Na
dữ liệu		Na
dữ tợn		Aa
dứ		Vt
dự		Nc, Vt
dự án		Na
dự báo		Na, Vt
dự bị		Vt, Aa
dự bị đại học		X
dự cảm		Na
dự chi		Vit
dự định		Na, Vt
dự đoán		Na, Vt
dự khuyết		Aa
dự kiến		Na, Vt
dự liệu		Vt
dự luật		Nc, Ng
dự nhiệm		Aa
dự phòng		Vt
dự thảo		Nc, Ng, Vt
dự thẩm		Nc, Ng, Vit
dự thí		Vit
dự thính		Vit
dự thu		Vit
dự tính		Vt
dự toán		Na, Vt
dự trù		Na, Vt
dự trữ		Na, Vt
dự trữ vàng		Na
dưa		Nc, Ng
dưa bở		Nc, Ng
dưa chuột		Nc, Ng
dưa đỏ		Nc, Ng
dưa gang		Nc, Ng
dưa góp		Nc, Ng
dưa hấu		Nc, Ng
dưa hồng		Nc, Ng
dưa leo		Nc, Ng
dưa lê		Nc, Ng
dưa món		Nc, Ng
dưa tây		Nc, Ng
dừa		Nc, Ng
dừa cạn		Nc, Ng
dừa lửa		Nc, Ng
dừa nước		Nc, Ng
dừa xiêm		Nc, Ng
dứa		Nc, Ng
dứa dại		Nc, Ng
dựa		Vt
dựa dẫm		Vt
dức		Vt
dức lác		Vt
dưng		Aa
dừng		Vit
dửng dưng		Vit, Aa
dửng mỡ		Vit
dửng tóc gáy		Vit
dứng		Nc
dựng		Vt
dựng đứng		Vt
dựng phim		Vit
dựng tóc gáy		Vit
dựng vợ gả chồng		Vit
dược		Nc, Ng
dược chất		Nc, Ng
dược chính		Nc, Ng
dược điển		Na
dược học		Na
dược khoa		Na
dược lí		Na
dược liệu		Nc, Ng
dược lý		Na
dược mạ		Nc
dược phẩm		Nc, Ng
dược phòng		Nc, Ng
dược sĩ		Nc, Ng
dược tá		Nc, Ng
dược thảo		Nc, Ng
dược thư		Nc, Ng
dược tính		Na
dược vật		Nc, Ng
dưới		Nl, Cc
dưới trướng		X
dướn		Vt
dương		Na, Aa
dương bản		Na
dương cầm		Nc, Ng
dương cơ		Nc, Na
dương cực		Na
dương danh		Vit
dương dương tự đắc		Vit
dương đông kích tây		X
dương gian		Na
dương lịch		Na
dương liễu		Nc, Ng
dương mai		Na
dương oai		Vit
dương thế		Na
dương tính		Aa
dương trần		Na
dương vật		Nc, Ng
dương xỉ		Nc, Ng
dường		Na, Vt
dường bâu		Nc
dường như		X
dưỡng		Nc, Vt
dưỡng bệnh		Vit
dưỡng dục		Vit
dưỡng đường		Nc, Ng
dưỡng khí		Ng
dưỡng lão		Vit
dưỡng sinh		Vit
dưỡng sinh		Vit
dưỡng sức		Vit
dưỡng thân		Vit
dưỡng thân		Vit
dưỡng trấp		Ng
dướng		Nc
dượng		Nc
dượt		Vt
dứt		Vt
dứt điểm		Vit
dứt khoát		Aa
dyn		Np
dynamit		Np
dynamo		Np
đa		Nc, I
đa âm		Aa
đa bào		Aa
đa bội		Aa
đa cảm		Aa
đa canh		Vit
đa chiều		Aa
đa chương trình		Na
đa dạng		Aa
đa dạng hoá		Vt
đa dạng sinh học		X
đa dâm		Aa
đa diện		Na, Aa
đa dụng		Aa
đa đa		Nc, Ng
đa đa ích thiện		X
đa đoan		Aa
đa giác		Nc
đa hệ		Aa
đa khoa		Aa
đa mang		Vt
đa mưu		Aa
đa mưu túc trí		Aa
đa năng		Aa
đa nghi		Aa
đa nghĩa		Aa
đa ngôn		Aa
đa ngôn đa quá		X
đa nguyên		Na, Aa
đa nguyên luận		Na
đa nhiệm		Na
đa phần		Nn
đa phu		Aa
đa phương		Aa
đa sầu		Aa
đa số		Nn
đa số áp đảo		Nn
đa số tuyệt đối		Nn
đa số tương đối		Nn
đa sự		Aa
đa tạ		Vt
đa thần		Aa
đa thần giáo		Na
đa thần luận		Na
đa thê		Aa
đa thức		Na
đa tiết		Aa
đa tình		Aa
đa trá		Aa
đa truân		Aa
đa túc		Ng
đa tư đa lự		Aa
đa tư lự		Aa
đa xử lí		Na
đa xử lý		Na
đà		Nc, Jt
đà đận		Vit
đà điểu		Nc, Ng
đà tàu		Nc, Ng
đả		Vt
đả đảo		Vt
đả động		Vt
đả đớt		Vit
đả kích		Vt
đả phá		Vt
đả thông		Vt
đã		Vt, Aa, Jt, I
đã đành		X
đã đời		Aa
đã trót phải trét		X
đá		Nc, Ng, Vt, Aa
đá balat		Nc, Ng
đá ballast		Nc, Ng
đá bọt		Nc, Ng
đá cuội		Nc, Ng
đá dăm		Nc, Ng
đá đít		Vt
đá đưa		Vit
đá gà		Vit
đá gà đá vịt		Vit
đá hoa		Nc, Ng
đá hoa cương		Nc, Ng
đá hộc		Nc, Ng
đá lửa		Nc, Ng
đá macma		Nc, Ng
đá magma		Nc, Ng
đá mài		Nc, Ng
đá nam châm		Nc, Ng
đá ong		Nc, Ng
đá phiến		Nc, Ng
đá quả bóng		Vit
đá quý		Nc, Ng
đá tai mèo		Nc, Ng
đá tảng		Nc, Ng
đá thúng đụng nia		X
đá trầm tích		Nc, Ng
đá trụ		Nc, Ng
đá vách		Nc, Ng
đá vàng		Nc, Ng
đá vân mẫu		Nc, Ng
đá vôi		Nc, Ng
đạc		Nu, Vt
đạc điền		Vit
đách		Ja, I
đai		Nc, Vt, Vit
đai cân		Nc, Ng
đai chậu		Nc, Ng
đai ốc		Nc, Ng
đai truyền		Nc, Ng
đài		Nc, Ng, Aa
đài các		Na, Aa
đài đệ		Aa
đài điếm		Aa
đài đóm		Nc, Ng
đài gương		Na
đài hoa		Nc, Ng
đài hoá thân		Nc, Ng
đài khí tượng		Nc, Ng
đài nguyên		Ng
đài nước		Nc, Ng
đài phát thanh		Nc, Ng
đài sen		Nc, Ng
đài tải		Vt
đài thiên văn		Nc, Ng
đài thọ		Vt
đài trang		Na
đài truyền hình		Nc, Ng
đài trưởng		Nc
đài từ		Na
đãi		Vt
đãi bôi		Aa
đãi cát lấy vàng		X
đãi đằng		Vt
đãi ngộ		Vt
đái		Nc, Vit
đái dắt		Vit
đái dầm		Vit
đái đường		Na
đái láu		Vit
đái nhạt		Na
đái tháo		Vit
đái tháo đường		X
đái tội lập công		X
đại		Nc, An, Jd
đại bác		Nc, Ng
đại bại		Vit
đại bản doanh		Nc, Ng
đại bàng		Nc, Ng
đại bằng		Nc
đại bi		Nc
đại biến		Na
đại biện lâm thời		Nc, Ng
đại biện thường trú		Nc, Ng
đại biểu		Nc, Ng, Vt
đại binh		Nc, Ng
đại bịp		Vit
đại bộ phận		Nn
đại bợm		Nc, Ng
đại ca		Nc
đại cà sa		Aa
đại cán		Nc, Ng
đại cao		Nc
đại cáo		Nc
đại châu		Ng
đại chiến		Na
đại chúng		Nc, Ng, Aa
đại công nghiệp		Na
đại cục		Na
đại cử tri		Nc, Ng
đại cương		Na, Aa
đại danh từ		Na
đại dịch		Na
đại diện		Nc, Ng, Vt
đại dương		Nc, Ng
đại đa số		Nn
đại đảm		Aa
đại đao		Nc, Ng
đại đăng khoa		Vit
đại để		Jd
đại đoàn		Nc, Ng
đại đoàn kết		Vt
đại độ		Aa
đại đội		Nc, Ng
đại đội trưởng		Nc, Ng
đại đồng		Aa
đại đởm		Aa
đại đức		Nc, Ng
đại gia		Nc, Ng
đại gia đình		Nc, Ng
đại gia súc		Nc, Ng
đại hàn		Na
đại hạn		Na
đại hình		Na
đại hoạ		Na
đại hoàng		Nc
đại học		Na
đại học sĩ		Nc, Ng
đại hồi		Nc
đại hội		Na
đại hồng thuỷ		Na
Đại Hùng Tinh		Np
đại huynh		Nc, Ng
đại khái		Aa
đại khánh		Na
đại khoa		Na
đại lãn		Aa
đại lão		Aa
đại lễ		Na
đại lí		Nc, Ng
đại lí kinh tiêu		Nc, Ng
đại lí lãnh sự		Nc, Ng
đại liên		Nc, Ng
đại loại		Jd
đại lộ		Nc, Ng
đại luận		Na
đại lục		Nc, Ng
đại lược		Aa
đại lượng		Na
đại lượng		Na, Aa
đại lượng biến thiên		Na
đại lượng không đổi		Na
đại lượng tỉ lệ nghịch		Na
đại lượng tỉ lệ thuận		Na
đại lượng tỷ lệ nghịch		Na
đại lượng tỷ lệ thuận		Na
đại lượng vô cùng bé		Na
đại lượng vô cùng lớn		Na
đại lý		Nc, Ng
đại mạch		Nc, Ng
đại não		Nc, Ng
đại náo		Vt
đại ngàn		Nc, Ng
đại nghĩa		Na
đại ngôn		Vit
đại nguyên soái		Nc, Ng
đại nguyên suý		Nc, Ng
đại nhân		Pp
đại nho		Nc, Ng
đại phá		Vt
đại phàm		Jd
đại pháo		Nc, Ng
đại phẫu		Na
đại phu		Na
đại phú		Aa
đại quân		Nc, Ng
đại qui mô		Aa
đại quy mô		Aa
đại sảnh		Nc, Ng
đại số		Na
đại số học		Na
đại sứ		Nc, Ng
đại sứ đặc mệnh toàn quyền		Nc, Ng
đại sứ quán		Nc, Ng
đại sự		Na
đại tá		Nc, Ng
đại tài		Aa
đại tang		Na
đại táo		Na
đại thắng		Na, Vit
đại thần		Nc, Ng
đại thể		Na, Jd
đại thọ		Na, Aa
đại thụ		Na
đại thuỷ nông		Na
đại thử		Na
đại thừa		Na
đại tiện		Vit
đại trà		Aa
đại tràng		Nc
đại trào		Na
đại trượng phu		Na
đại tu		Vt
đại tuần hoàn		Na
đại tuyết		Na
đại từ		Na
đại tự		Nc, Ng
đại tướng		Nc, Ng
đại uý		Nc, Ng
đại vương		Nc, Ng
đại xa		Nc, Ng
đại xá		Vit
đại ý		Na
đam		Vt, Vim, Vtim
đam mê		Vt, Vim, Vtim
đàm		Nc, Vit
đàm đạo		Vit
đàm luận		Vt
đàm phán		Vit
đàm thoại		Vit
đàm tiếu		Vit
đảm		Vit, Aa
đảm bảo		Na, Vt
đảm đang		Vit, Aa
đảm đương		Vt
đảm lược		Na, Aa
đảm nhận		Vt
đảm nhiệm		Vt
đảm phụ		Na, Vt
đảm trách		Vt
đám		Ng
đám hội		Nc, Ng
đám ma		Nc, Ng
đám tang		Nc, Ng
đạm		Nc, Ng
đạm bạc		Aa
đan		Vt
đan chen		Vt
đan cử		Vt
đan lát		Vit
đan tâm		Na
đan thanh		Na
đan trì		Nc
đan xen		Vt
đàn		Nc, Ng, Vt
đàn anh		Nc, Ng
đàn áp		Vt
đàn bà		Nc, Ng
đàn bầu		Nc, Ng
đàn đá		Nc, Ng
đàn đáy		Nc, Ng
đàn địch		Vit
đàn đúm		Vit
đàn em		Nc, Ng
đàn gảy tai trâu		X
đàn gió		Nc, Ng
đàn hặc		Vit
đàn hoà		Vit
đàn hồi		Aa
đàn hương		Nc, Ng
đàn kìm		Nc, Ng
đàn môi		Nc, Ng
đàn nguyệt		Nc, Ng
đàn nhật		Nc, Ng
đàn ông		Nc, Ng
đàn ông đàn ang		Nc, Ng
đàn ống		Nc, Ng
đàn sáo		Vit
đàn sến		Nc, Ng
đàn tam		Nc, Ng
đàn tam thập lục		Nc, Ng
đàn tàu		Nc, Ng
đàn thập lục		Nc, Ng
đàn tì		Nc, Ng
đàn tính		Na
đàn tính		Na
đàn tơ rưng		Nc, Ng
đàn tràng		Nc
đàn tranh		Nc, Ng
đàn tứ		Nc
đàn tỳ		Nc, Ng
đàn việt		Ng
đàn xếp		Nc, Ng
đản bạch		Nc
đạn		Nc
đạn bọc đường		Na
đạn dumdum		Nc, Ng
đạn dược		Nc, Ng
đạn đumđum		Nc, Ng
đạn ghém		Nc, Ng
đạn lõm		Nc, Ng
đạn nổ		Nc, Ng
đạn xuyên		Nc, Ng
đang		Vit
đang		Jt
đang cai		Vt
đang tay		Vt
đang tâm		Vt
đàng		Nc
đàng điếm		Aa
đàng hoàng		Aa
đảng		Ng
đảng bộ		Ng
đảng cương		Na
đảng đoàn		Ng
đảng kì		Nc, Ng
đảng kỳ		Nc, Ng
đảng phái		Nc, Ng
đảng phí		Na
đảng sâm		Nc, Ng
đảng tịch		Na
đảng tính		Na
đảng tranh		Na
đảng trị		Vit
đảng uỷ		Ng
đảng uỷ viên		Nc, Ng
đảng viên		Nc, Ng
đảng vụ		Na
đãng trí		Vit
đáng		Vt, Aa
đáng đời		Aa
đáng giá		Aa
đáng kể		Aa
đáng kiếp		Aa
đáng lẽ		Jd
đáng lí		Jd
đáng lý		Jd
đanh		Nc, Ng, Aa
đanh đá		Aa
đanh đá cá cày		Aa
đanh thép		Aa
đành		Vtv
đành đạch		Jd
đành hanh		Aa
đành lòng		Vtv
đành rành		Aa
đành rằng		X
đánh		Vt
đánh bạc		Vit
đánh bại		Vt
đánh bạn		Vt
đánh bạo		Vt
đánh bạt		Vit
đánh bắt		Vt
đánh bật		Vt
đánh bò cạp		Vit
đánh bóng		Vit
đánh bùn sang ao		X
đánh cá		Vit
đánh cắp		Vt
đánh chác		Vit
đánh chén		Vit
đánh chim sẻ		Vit
đánh chính diện		Vit
đánh công kiên		Vit
đánh cuộc		Vit
đánh dấu		Vt
đánh du kích		Vit
đánh đá		Vit
đánh đàng xa		Vit
đánh đấm		Vit
đánh đập		Vt
đánh đĩ		Vit
đánh điểm diệt viện		Vit
đánh đòn		Vt
đánh đổ		Vt
đánh đố		Vt
đánh đôi		Vit
đánh đổi		Vt
đánh đông dẹp bắc		Vit
đánh đồng		Vt
đánh đồng thiếp		Vit
đánh động		Vit
đánh đơn		Vit
đánh đu		Vit
đánh đu với tinh		X
đánh đùng		Jt
đánh đụng		Vt
đánh đuổi		Vt
đánh đường		Vit
đánh gần		Vit
đánh ghen		Vit
đánh giá		Vt
đánh giao thông		Vit
đánh giáp lá cà		Vit
đánh gió		Vit
đánh gục		Vt
đánh hào ngầm		Vit
đánh hỏng		Vit
đánh hôi		Vit
đánh hơi		Vit
đánh khơi		Vit
đánh liều		Vt
đánh lộn		Vit
đánh lộng		Vit
đánh lừa		Vt
đánh máy		Vit
đánh mùi		Vit
đánh nhịp		Vit
đánh ống		Vit
đánh phấn		Vit
đánh rắm		Vit
đánh rơi		Vt
đánh số		Vt
đánh suốt		Vit
đánh tháo		Vit
đánh thọc sâu		Vit
đánh thức		Vt
đánh tiếng		Vt
đánh tiêu diệt		Vit
đánh tiêu hao		Vit
đánh tráo		Vt
đánh trận địa		Vit
đánh trống bỏ dùi		X
đánh trống ghi tên		X
đánh trống lảng		Vit
đánh trống lấp		Vit
đánh trống ngực		Vit
đánh trống qua cửa nhà sấm		X
đánh tung thâm		Vit
đánh úp		Vit
đánh vần		Vit
đánh vận động		Vit
đánh vật		Vit
đánh vòng		Vit
đánh võng		Vit
đánh vỗ mặt		Vit
đánh vu hồi		Vit
đao		Nc, Ng
đao binh		Nc, Ng
đao kiếm		Nc, Ng
đao phủ		Nc, Ng
đao to búa lớn		X
đào		Nc, Ng, Vt, Aa
đào hoa		Aa
đào kép		Nc, Ng
đào lộn hột		Nc, Ng
đào luyện		Vit
đào mỏ		Vit
đào ngũ		Vit
đào nguyên		Na
đào nhiệm		Vit
đào nương		Nc, Ng
đào sâu		Vit
đào tạo		Vt
đào tẩu		Vit
đào thải		Vt
đào thoát		Vit
đào tơ liễu yếu		X
đảo		Nc, Ng, Vt
đảo chánh		X
đảo chính		Na, Vit
đảo điên		Aa
đảo điện		Nc
đảo lộn		Vt
đảo ngược		Vt
đảo nợ		Vit
đảo phách		Na
đảo vũ		Vit
đáo		Nc
đáo để		Aa, Jd
đạo		Na
đạo Bà La Môn		Na
đạo Cao Đài		Na
đạo chích		Nc, Ng
đạo cô		Nc, Ng
đạo Cơ Đốc		Na
đạo cụ		Nc, Ng
đạo diễn		Nc, Ng, Vit
đạo đức		Na
đạo đức học		Na
Đạo giáo		Na
đạo hàm		Na
đạo hiếu		Na
đạo Hindu		Na
đạo Hinđu		Na
đạo Hồi		Na
đạo hữu		Nc, Ng
đạo Eslam		Na
đạo Khổng		Na
đạo Kitô		Na
đạo Lão		Na
đạo lí		Na
đạo lộ		Ng
đạo luật		Na
đạo lý		Na
đạo mạo		Aa
đạo nghĩa		Na
đạo ôn		Na
đạo Phật		Na
đạo quân thứ năm		Nc, Ng
đạo sĩ		Nc, Ng
đạo tặc		Nc, Ng
đạo Thiên Chúa		Na
đạo Tin Lành		Na
đạo văn		Vit
đáp		Vt
đáp án		Na
đáp số		Na
đáp từ		Na
đáp ứng		Vt
đạp		Na, Vt
đạp bằng		Vt
đạp đổ		Vit
đạp lôi		Ng
đạp mái		Vit
đát		Nu
đạt		Vta, Aa
đạt lí thấu tình		Aa
đạt lý thấu tình		Aa
đau		Vt, Aa
đau đáu		Aa
đau đớn		Aa
đau khổ		Aa
đau lòng		Aa
đau ốm		Vit
đau thương		Aa
đau xót		Aa
đau yếu		Vit
đay		Nc, Vit
đay ấn Độ		Nc, Ng
đay đả		Vit
đay đảy		Vit
đay nghiến		Vt
đày		Vt
đày ải		Vt
đày đoạ		Vt
đày tớ		Nc, Ng
đãy		Nc, Ng
đáy		Nc, Nl
đáy biển mò kim		X
đắc chí		Aa
đắc cử		Vt
đắc dụng		Aa
đắc đạo		Vit
đắc địa		Aa
đắc kế		Aa
đắc lực		Aa
đắc sách		Aa
đắc thắng		Vitim, Aa
đắc thất		Na
đắc thế		Vt
đắc tội		Vt
đắc ý		Aa
đặc		Aa
đặc ân		Na
đặc biệt		Aa
đặc cách		Jd
đặc chế		Vt
đặc chủng		Aa
đặc công		Nc, Ng, Vit
đặc dụng		Aa
đặc điểm		Na
đặc hiệu		Aa
đặc hữu		Aa
đặc khu		Nc, Ng
đặc khu kinh tế		Nc, Ng
đặc kịt		Aa
đặc mệnh		Vt
đặc nhiệm		Aa
đặc phái		Vit
đặc phái viên		Nc, Ng
đặc quyền		Na
đặc quyền đặc lợi		Na
đặc quyền lãnh sự		Na
đặc quyền ngoại giao		Na
đặc san		Nc, Ng
đặc sản		Nc, Ng
đặc sắc		Aa
đặc sệt		Aa
đặc tả		Na, Vit
đặc tài		Na
đặc thù		Na, Aa
đặc tính		Na
đặc trách		Vit
đặc trị		Aa
đặc trưng		Na, Vt, Aa
đặc vụ		Nc, Ng
đặc xá		Vit
đăm		Aa
đăm chiêu		Na, Vit, Aa
đăm đăm		Aa
đăm đắm		Jd
đằm		Nc, Aa
đằm đìa		Aa
đằm thắm		Aa
đẵm		Vt, Aa
đắm		Vit, Vt
đắm đuối		Vit
đắm nguyệt say hoa		X
đắm say		Vt, Vim, Vtim
đặm		Aa
đặm đà		Aa
đằn		Vt
đẵn		Nc, Vt
đắn đo		Vit
đăng		Nc, Vt
đăng bạ		Vt
đăng bộ		Vt
đăng cai		Vt
đăng đài		Vit
đăng đàn		Vt
đăng đắng		Aa
đăng đó		Nc, Ng
đăng đối		Aa
đăng đường		Vit
đăng hoả		Na
đăng khoa		Vit
đăng kí		Na, Vt
đăng kiểm		Vit
đăng ký		Na, Vt
đăng quang		Vt
đăng tải		Vt
đăng-ten		Nc, Ng
đăng trình		Vit
đằng		Nl, Vit
đằng ấy		Pp
đằng đằng		Na, Aa
đằng đẵng		Aa
đằng hắng		Vit
đằng la		Na
đằng ngà		Nc, Ng
đằng thằng		Aa
đằng vân		Vit
đằng vân giá vũ		Vit
đẳng		Nc, Nl, Nu
đẳng áp		Aa
đẳng cấp		Na
đẳng cấu		Na, Aa
đẳng chu		Aa
đẳng hạng		Na
đẳng hướng		Aa
đẳng lập		Aa
đẳng nhiệt		Aa
đẳng phương		Aa
đẳng thế		Aa
đẳng thức		Na
đẳng tích		Aa
đắng		Aa
đắng cay		Aa
đắng chằng		Aa
đặng		Vt, Ja, Cm
đăngten		Nc, Ng
đắp		Vt
đắp điếm		Vit
đắp đổi		Vit
đắp tai cài trốc		X
đắt		Aa
đắt đỏ		Aa
đắt giá		Aa
đắt như tôm tươi		Aa
đặt		Vt
đặt chân		Vt
đặt cọc		Vit
đặt để		Vt
đặt điều		Vt
đặt hàng		Vit
đặt vòng		Vit
đâm		Vtb
đâm ba chày củ		Vit
đâm ba chẻ củ		Vit
đâm bị thóc chọc bị gạo		X
đâm bổ		Vt
đâm đầu		Vit
đâm đơn		Vt
đâm họng		Vit
đâm hông		Vit
đâm lao phải theo lao		X
đâm ra		Vtb
đâm sầm		Vt
đầm		Nc, Ng, Vit, Vt, Aa
đầm ấm		Aa
đầm đậm		Aa
đầm đìa		Aa
đẫm		Vt, Aa
đấm		Vt
đấm bóp		Vt
đấm đá		Vit
đấm họng		Vit
đấm mõm		Vit
đấm mồm		Vit
đậm		Aa
đậm đà		Aa
đậm đặc		Aa
đậm nét		Aa
đần		Aa
đần độn		Aa
đẫn		Aa
đẫn đờ		Aa
đận		Nl
đận đà		Vit
đấng		Nc
đập		Nc, Ng, Vt
đập tan		Vt
đập tràn		Nc, Ng
đất		Nc, Ng
đất bằng nổi sóng		X
đất cát		Nc, Ng
đất cát pha		Nc, Ng
đất dụng võ		Na
đất đai		Nc, Ng
đất đèn		Nc, Ng
đất đỏ		Nc, Ng
đất hiếm		Nc, Ng
Đất Hứa		Na
đất khách quê người		Np
đất lành chim đậu		X
đất lề quê thói		Np
đất liền		Nc, Ng
đất màu		Nc, Ng
đất nặng		Nc, Ng
đất nhẹ		Nc, Ng
đất nung		Nc, Ng
đất nước		Nc, Ng
đất sét		Nc, Ng
đất sứ		Nc, Ng
đất thánh		Nc, Ng
đất thịt		Nc, Ng
đất thịt pha		Nc, Ng
đất thó		Nc, Ng
đâu		Pi, Vt, Ja, I
đâu đâu		Pd
đâu đây		Pd
đâu đấy		Pd
đâu đó		Pd
đầu		Nc, Ng, Nl, Vt
đầu bạc răng long		X
đầu bài		Nc, Ng
đầu bảng		Nc, Ng
đầu bếp		Nc, Ng
đầu bò		Aa
đầu bò đầu bướu		Aa
đầu bù tóc rối		X
đầu câm		Nc, Ng
đầu chày đít thớt		X
đầu cơ		Vt
đầu cơ trục lợi		Vit
đầu cua tai nheo		Vit
đầu cuối		Nc, Ng
đầu dây mối dợ		X
đầu dây mối nhợ		X
đầu đàn		Nc, Ng
đầu đảng		Nc, Ng
đầu đanh		Nc, Ng
đầu đề		Nc, Ng
đầu đinh		Nc, Ng
đầu đọc		Nc, Ng
đầu độc		Vt
đầu đơn		Vt
đầu đuôi		Nc, Ng
đầu đuôi xuôi ngược		Np
đầu đường xó chợ		X
đầu gấu		Nc, Ng
đầu gối		Nc, Ng
đầu gối tay ấp		X
đầu hàng		Vt
đầu hồi		Nc, Ng
đầu hôm		Nl
đầu lâu		Nc, Ng
đầu lĩnh		Nc, Ng
đầu lòng		Aa
đầu lưỡi		Aa
đầu máy		Nc, Ng
đầu mặt		Nc
đầu mẩu		Nc
đầu mấu		Nc
đầu mối		Nc, Ng
đầu mục		Nc, Ng
đầu não		Nc, Ng
đầu nậu		Nc, Ng
đầu ngắm		Nc, Ng
đầu Ngô mình Sở		X
đầu nước		Na
đầu óc		Nc, Ng
đầu ối		Ng
đầu phiếu		Vit
đầu quân		Vit
đầu ra		Na
đầu rau		Nc, Ng
đầu ruồi		Nc, Ng
đầu sách		Nc, Ng
đầu sai		Nc, Ng
đầu sỏ		Nc, Ng
đầu sóng ngọn gió		Np
đầu sông ngọn nguồn		Np
đầu tàu		Nc, Na
đầu tay		Aa
đầu tắt mặt tối		Aa
đầu tầu		Nc, Na
đầu têu		Na, Vit
đầu thai		Vit
đầu thú		Vit
đầu thừa đuôi thẹo		Np
đầu tiên		Nl, Jt, Aa
đầu trâu mặt ngựa		Np
đầu trò		Na
đầu trộm đuôi cướp		Np
đầu tư		Vt
đầu từ		Nc, Ng
đầu vào		Na
đầu video		Nc, Ng
đầu voi đuôi chuột		X
đầu xanh		Nc, Ng
đầu xuôi đuôi lọt		X
đẩu đâu		Nl
đấu		Nc, Nu, Vt
đấu dịu		Vit
đấu đá		Vit
đấu giá		Vit
đấu giao hữu		Vit
đấu khẩu		Vit
đấu lí		Vit
đấu loại		Vit
đấu lý		Vit
đấu pháp		Na
đấu sĩ		Nc, Ng
đấu thầu		Vt
đấu thủ		Nc, Ng
đấu thuỷ		Vit
đấu tố		Vt
đấu tranh		Na, Vt
đấu tranh chính trị		Na
đấu tranh giai cấp		Na
đấu tranh sinh tồn		Na
